Tanggal,Bahan_pangan,Daerah,Harga_lag_1,Harga_lag_7,Harga_lag_30,Google_trends,Harga
2024-10-01,Bawang Putih Bonggol,Kalimantan Barat,38360,38330,37030,0,0
2024-10-01,Bawang Putih Bonggol,Kalimantan Selatan,37920,38190,38110,0,0
2024-10-01,Bawang Putih Bonggol,Kalimantan Tengah,40070,39830,39290,0,0
2024-10-01,Bawang Putih Bonggol,Kalimantan Timur,42100,41870,41170,0,0
2024-10-01,Bawang Putih Bonggol,Kalimantan Utara,42820,43160,42360,0,0
2024-10-01,Bawang Putih Bonggol,Kepulauan Bangka Belitung,39730,40350,39250,0,0
2024-10-01,Bawang Putih Bonggol,Kepulauan Riau,34720,34030,34710,0,0
2024-10-01,Bawang Putih Bonggol,Lampung,37180,36890,37290,0,0
2024-10-01,Bawang Putih Bonggol,Maluku Utara,51750,52350,55700,0,0
2024-10-01,Bawang Putih Bonggol,Maluku,44070,45010,45860,0,0
2024-10-01,Bawang Putih Bonggol,Nusa Tenggara Barat,38250,38130,38540,0,0
2024-10-01,Bawang Putih Bonggol,Nusa Tenggara Timur,40540,40900,40610,0,0
2024-10-01,Bawang Putih Bonggol,Papua Barat,50850,51440,53350,0,0
2024-10-01,Bawang Putih Bonggol,Papua,51350,51560,50400,0,0
2024-10-01,Bawang Putih Bonggol,Riau,38290,38030,38210,0,0
2024-10-01,Bawang Putih Bonggol,Sulawesi Barat,40510,40520,41920,0,0
2024-10-01,Bawang Putih Bonggol,Sulawesi Selatan,40500,40430,39410,0,0
2024-10-01,Bawang Putih Bonggol,Sulawesi Tengah,44640,45410,45250,0,0
2024-10-01,Bawang Putih Bonggol,Sulawesi Tenggara,46480,45890,42810,0,0
2024-10-01,Bawang Putih Bonggol,Sulawesi Utara,44580,45530,45630,0,0
2024-10-01,Bawang Putih Bonggol,Sumatera Barat,37300,38870,38700,0,0
2024-10-01,Bawang Putih Bonggol,Sumatera Selatan,37540,37130,36850,0,0
2024-10-01,Bawang Putih Bonggol,Sumatera Utara,38340,38030,38330,0,0
2024-10-01,Beras Medium,Aceh,13470,13520,13530,0,0
2024-10-01,Beras Medium,Bali,14080,14040,14030,0,0
2024-10-01,Beras Medium,Banten,12800,12770,12700,0,0
2024-10-01,Beras Medium,Bengkulu,13900,13910,13900,0,0
2024-10-01,Beras Medium,DI Yogyakarta,13010,13010,12790,0,0
2024-10-01,Beras Medium,DKI Jakarta,13420,13510,13850,0,0
2024-10-01,Beras Medium,Gorontalo,13530,13440,13620,0,0
2024-10-01,Beras Medium,Jambi,13190,13120,13120,0,0
2024-10-01,Beras Medium,Jawa Barat,12890,12920,12940,0,0
2024-10-01,Beras Medium,Jawa Tengah,13150,13140,13120,0,0
2024-10-01,Beras Medium,Jawa Timur,12620,12580,12540,0,0
2024-10-01,Beras Medium,Kalimantan Barat,14520,14550,14750,0,0
2024-10-01,Beras Medium,Kalimantan Selatan,12900,13060,13060,0,0
2024-10-01,Beras Medium,Kalimantan Tengah,14070,14060,14090,0,0
2024-10-01,Beras Medium,Kalimantan Timur,15750,15690,15530,0,0
2024-10-01,Beras Medium,Kalimantan Utara,15500,15500,15430,0,0
2024-10-01,Beras Medium,Kepulauan Bangka Belitung,13910,13910,13770,0,0
2024-10-01,Beras Medium,Kepulauan Riau,13890,14000,14030,0,0
2024-10-01,Beras Medium,Lampung,13170,13140,13080,0,0
2024-10-01,Beras Medium,Maluku Utara,15530,15680,15840,0,0
2024-10-01,Beras Medium,Maluku,14650,14770,14520,0,0
2024-10-01,Beras Medium,Nusa Tenggara Barat,12950,12950,12750,0,0
2024-10-01,Beras Medium,Nusa Tenggara Timur,13460,13560,13450,0,0
2024-10-01,Beras Medium,Papua Barat,15570,15710,16230,0,0
2024-10-01,Beras Medium,Papua,15510,15510,15510,0,0
2024-10-01,Beras Medium,Riau,13930,13940,13810,0,0
2024-10-01,Beras Medium,Sulawesi Barat,13200,13060,12960,0,0
2024-10-01,Beras Medium,Sulawesi Selatan,12530,12570,12600,0,0
2024-10-01,Beras Medium,Sulawesi Tengah,13440,13460,13470,0,0
2024-10-01,Beras Medium,Sulawesi Tenggara,13070,13000,13010,0,0
2024-10-01,Beras Medium,Sulawesi Utara,13730,13790,13770,0,0
2024-10-01,Beras Medium,Sumatera Barat,15280,15350,15210,0,0
2024-10-01,Beras Medium,Sumatera Selatan,12570,12540,12500,0,0
2024-10-01,Beras Medium,Sumatera Utara,13950,13940,14150,0,0
2024-10-01,Beras Premium,Aceh,14660,14700,14720,0,0
2024-10-01,Beras Premium,Bali,15530,15490,15610,0,0
2024-10-01,Beras Premium,Banten,15000,14770,14870,0,0
2024-10-01,Beras Premium,Bengkulu,15480,15520,15600,0,0
2024-10-01,Beras Premium,DI Yogyakarta,14400,14380,14360,0,0
2024-10-01,Beras Premium,DKI Jakarta,15560,15560,15770,0,0
2024-10-01,Beras Premium,Gorontalo,15320,15240,15410,0,0
2024-10-01,Beras Premium,Jambi,15190,14990,15030,0,0
2024-10-01,Beras Premium,Jawa Barat,14820,14830,14890,0,0
2024-10-01,Beras Premium,Jawa Tengah,14910,14890,14990,0,0
2024-10-01,Beras Premium,Jawa Timur,14580,14600,14610,0,0
2024-10-01,Beras Premium,Kalimantan Barat,17110,17080,17180,0,0
2024-10-01,Beras Premium,Kalimantan Selatan,16280,16270,16480,0,0
2024-10-01,Beras Premium,Kalimantan Tengah,17270,17270,17390,0,0
2024-10-01,Beras Premium,Kalimantan Timur,17380,17430,17240,0,0
2024-10-01,Beras Premium,Kalimantan Utara,17490,17490,17210,0,0
2024-10-01,Beras Premium,Kepulauan Bangka Belitung,15860,15860,15840,0,0
2024-10-01,Beras Premium,Kepulauan Riau,16140,16140,16170,0,0
2024-10-01,Beras Premium,Lampung,14600,14620,14590,0,0
2024-10-01,Beras Premium,Maluku Utara,18030,17890,17940,0,0
2024-10-01,Beras Premium,Maluku,17390,17290,17730,0,0
2024-10-01,Beras Premium,Nusa Tenggara Barat,15030,14900,14750,0,0
2024-10-01,Beras Premium,Nusa Tenggara Timur,15660,15770,15670,0,0
2024-10-01,Beras Premium,Papua Barat,18320,18380,18380,0,0
2024-10-01,Beras Premium,Papua,17990,17990,17940,0,0
2024-10-01,Beras Premium,Riau,16210,16210,16070,0,0
2024-10-01,Beras Premium,Sulawesi Barat,14460,14380,14400,0,0
2024-10-01,Beras Premium,Sulawesi Selatan,14510,14530,14530,0,0
2024-10-01,Beras Premium,Sulawesi Tengah,15360,15440,15660,0,0
2024-10-01,Beras Premium,Sulawesi Tenggara,14690,14460,14540,0,0
2024-10-01,Beras Premium,Sulawesi Utara,15120,15140,15080,0,0
2024-10-01,Beras Premium,Sumatera Barat,17460,17600,17540,0,0
2024-10-01,Beras Premium,Sumatera Selatan,14150,14140,14050,0,0
2024-10-01,Beras Premium,Sumatera Utara,15450,15350,15510,0,0
2024-10-01,Cabai Merah Keriting,Aceh,25510,28650,40700,0,0
2024-10-01,Cabai Merah Keriting,Bali,19810,19100,31790,0,0
2024-10-01,Cabai Merah Keriting,Banten,27100,27070,36470,0,0
2024-10-01,Cabai Merah Keriting,Bengkulu,27140,29490,36030,0,0
2024-10-01,Cabai Merah Keriting,DI Yogyakarta,16380,20360,26290,0,0
2024-10-01,Cabai Merah Keriting,DKI Jakarta,34270,36760,39890,0,0
2024-10-01,Cabai Merah Keriting,Gorontalo,45930,49100,48210,0,0
2024-10-01,Cabai Merah Keriting,Jambi,22270,23360,30160,0,0
2024-10-01,Cabai Merah Keriting,Jawa Barat,28730,30500,37910,0,0
2024-10-01,Cabai Merah Keriting,Jawa Tengah,21570,22380,27420,0,0
2024-10-01,Cabai Merah Keriting,Jawa Timur,19670,21140,27510,0,0
2024-10-01,Cabai Merah Keriting,Kalimantan Barat,57820,59510,56660,0,0
2024-10-01,Cabai Merah Keriting,Kalimantan Selatan,31440,35290,38850,0,0
2024-10-01,Cabai Merah Keriting,Kalimantan Tengah,53780,53970,58050,0,0
2024-10-01,Cabai Merah Keriting,Kalimantan Timur,41910,45020,48290,0,0
2024-10-01,Cabai Merah Keriting,Kalimantan Utara,64290,65280,68110,0,0
2024-10-01,Cabai Merah Keriting,Kepulauan Bangka Belitung,33370,36200,43490,0,0
2024-10-01,Cabai Merah Keriting,Kepulauan Riau,46880,47290,60100,0,0
2024-10-01,Cabai Merah Keriting,Lampung,25290,26190,33260,0,0
2024-10-01,Cabai Merah Keriting,Maluku Utara,55450,58040,62260,0,0
2024-10-01,Cabai Merah Keriting,Maluku,57210,62200,67680,0,0
2024-10-01,Cabai Merah Keriting,Nusa Tenggara Barat,21990,22470,29670,0,0
2024-10-01,Cabai Merah Keriting,Nusa Tenggara Timur,45540,47930,52150,0,0
2024-10-01,Cabai Merah Keriting,Papua Barat,62840,62840,81810,0,0
2024-10-01,Cabai Merah Keriting,Papua,60640,65100,69170,0,0
2024-10-01,Cabai Merah Keriting,Riau,36930,39270,47150,0,0
2024-10-01,Cabai Merah Keriting,Sulawesi Barat,29920,29840,41550,0,0
2024-10-01,Cabai Merah Keriting,Sulawesi Selatan,25550,27150,32620,0,0
2024-10-01,Cabai Merah Keriting,Sulawesi Tengah,39650,43270,49840,0,0
2024-10-01,Cabai Merah Keriting,Sulawesi Tenggara,42140,43590,47060,0,0
2024-10-01,Cabai Merah Keriting,Sulawesi Utara,36310,35310,42610,0,0
2024-10-01,Cabai Merah Keriting,Sumatera Barat,28520,30910,41480,0,0
2024-10-01,Cabai Merah Keriting,Sumatera Selatan,27560,28570,33940,0,0
2024-10-01,Cabai Merah Keriting,Sumatera Utara,22980,24740,34580,0,0
2024-10-01,Cabai Rawit Merah,Aceh,0,0,0,0,0
2024-10-01,Cabai Rawit Merah,Bali,33490,38550,33960,0,0
2024-10-01,Cabai Rawit Merah,Banten,43160,41590,48710,0,0
2024-10-01,Cabai Rawit Merah,Bengkulu,45990,43750,48590,0,0
2024-10-01,Cabai Rawit Merah,DI Yogyakarta,30420,34400,28440,0,0
2024-10-01,Cabai Rawit Merah,DKI Jakarta,44170,44840,49280,0,0
2024-10-01,Cabai Rawit Merah,Gorontalo,70400,70730,64540,0,0
2024-10-01,Cabai Rawit Merah,Jambi,44100,44900,48180,0,0
2024-10-01,Cabai Rawit Merah,Jawa Barat,40760,40780,44540,0,0
2024-10-01,Cabai Rawit Merah,Jawa Tengah,35430,36370,32440,0,0
2024-10-01,Cabai Rawit Merah,Jawa Timur,30830,31600,32860,0,0
2024-10-01,Cabai Rawit Merah,Kalimantan Barat,66110,70770,74940,0,0
2024-10-01,Cabai Rawit Merah,Kalimantan Selatan,43410,46480,54780,0,0
2024-10-01,Cabai Rawit Merah,Kalimantan Tengah,62410,63890,64230,0,0
2024-10-01,Cabai Rawit Merah,Kalimantan Timur,41720,45180,48890,0,0
2024-10-01,Cabai Rawit Merah,Kalimantan Utara,75950,77670,78830,0,0
2024-10-01,Cabai Rawit Merah,Kepulauan Bangka Belitung,60980,62760,55650,0,0
2024-10-01,Cabai Rawit Merah,Kepulauan Riau,62790,60300,69250,0,0
2024-10-01,Cabai Rawit Merah,Lampung,40590,41070,43160,0,0
2024-10-01,Cabai Rawit Merah,Maluku Utara,76800,79880,82270,0,0
2024-10-01,Cabai Rawit Merah,Maluku,64170,68050,71130,0,0
2024-10-01,Cabai Rawit Merah,Nusa Tenggara Barat,29420,30890,33150,0,0
2024-10-01,Cabai Rawit Merah,Nusa Tenggara Timur,36690,37270,43970,0,0
2024-10-01,Cabai Rawit Merah,Papua Barat,80880,86700,93220,0,0
2024-10-01,Cabai Rawit Merah,Papua,83050,83600,88810,0,0
2024-10-01,Cabai Rawit Merah,Riau,56010,53410,58860,0,0
2024-10-01,Cabai Rawit Merah,Sulawesi Barat,41060,40590,44800,0,0
2024-10-01,Cabai Rawit Merah,Sulawesi Selatan,26140,28590,32500,0,0
2024-10-01,Cabai Rawit Merah,Sulawesi Tengah,51300,52390,54230,0,0
2024-10-01,Cabai Rawit Merah,Sulawesi Tenggara,39870,41320,53050,0,0
2024-10-01,Cabai Rawit Merah,Sulawesi Utara,74260,77130,67900,0,0
2024-10-01,Cabai Rawit Merah,Sumatera Barat,47400,48100,56330,0,0
2024-10-01,Cabai Rawit Merah,Sumatera Selatan,42370,41370,42090,0,0
2024-10-01,Cabai Rawit Merah,Sumatera Utara,43610,46250,57240,0,0
2024-10-01,Daging Ayam Ras,Aceh,30080,30130,29380,0,0
2024-10-01,Daging Ayam Ras,Bali,38640,39140,36450,0,0
2024-10-01,Daging Ayam Ras,Banten,35930,36250,35620,0,0
2024-10-01,Daging Ayam Ras,Bengkulu,32070,33020,33220,0,0
2024-10-01,Daging Ayam Ras,DI Yogyakarta,31930,32280,33050,0,0
2024-10-01,Daging Ayam Ras,DKI Jakarta,36120,36420,36330,0,0
2024-10-01,Daging Ayam Ras,Gorontalo,31360,31750,32690,0,0
2024-10-01,Daging Ayam Ras,Jambi,31810,31800,31260,0,0
2024-10-01,Daging Ayam Ras,Jawa Barat,33980,34390,34960,0,0
2024-10-01,Daging Ayam Ras,Jawa Tengah,33910,34410,34540,0,0
2024-10-01,Daging Ayam Ras,Jawa Timur,31620,32470,32780,0,0
2024-10-01,Daging Ayam Ras,Kalimantan Barat,42210,42760,39240,0,0
2024-10-01,Daging Ayam Ras,Kalimantan Selatan,29760,32010,32610,0,0
2024-10-01,Daging Ayam Ras,Kalimantan Tengah,38720,38890,40020,0,0
2024-10-01,Daging Ayam Ras,Kalimantan Timur,40000,39350,37720,0,0
2024-10-01,Daging Ayam Ras,Kalimantan Utara,48090,47230,47400,0,0
2024-10-01,Daging Ayam Ras,Kepulauan Bangka Belitung,35320,35140,34880,0,0
2024-10-01,Daging Ayam Ras,Kepulauan Riau,41800,41900,40500,0,0
2024-10-01,Daging Ayam Ras,Lampung,34660,33600,34960,0,0
2024-10-01,Daging Ayam Ras,Maluku Utara,47710,46790,46910,0,0
2024-10-01,Daging Ayam Ras,Maluku,48180,47490,47880,0,0
2024-10-01,Daging Ayam Ras,Nusa Tenggara Barat,39600,39460,40110,0,0
2024-10-01,Daging Ayam Ras,Nusa Tenggara Timur,41170,42650,43940,0,0
2024-10-01,Daging Ayam Ras,Papua Barat,50500,51680,53510,0,0
2024-10-01,Daging Ayam Ras,Papua,44880,44300,44520,0,0
2024-10-01,Daging Ayam Ras,Riau,29410,30190,28820,0,0
2024-10-01,Daging Ayam Ras,Sulawesi Barat,31260,30370,32160,0,0
2024-10-01,Daging Ayam Ras,Sulawesi Selatan,26220,26470,25810,0,0
2024-10-01,Daging Ayam Ras,Sulawesi Tengah,32260,32290,31140,0,0
2024-10-01,Daging Ayam Ras,Sulawesi Tenggara,33870,32790,33100,0,0
2024-10-01,Daging Ayam Ras,Sulawesi Utara,33200,33620,34280,0,0
2024-10-01,Daging Ayam Ras,Sumatera Barat,33760,33800,34050,0,0
2024-10-01,Daging Ayam Ras,Sumatera Selatan,31130,31270,31720,0,0
2024-10-01,Daging Ayam Ras,Sumatera Utara,30660,30330,31090,0,0
2024-10-01,Daging Sapi Murni,Aceh,152990,153120,153310,0,0
2024-10-01,Daging Sapi Murni,Bali,114000,114000,114460,0,0
2024-10-01,Daging Sapi Murni,Banten,132220,132450,133890,0,0
2024-10-01,Daging Sapi Murni,Bengkulu,135380,135380,136700,0,0
2024-10-01,Daging Sapi Murni,DI Yogyakarta,135560,136270,136680,0,0
2024-10-01,Daging Sapi Murni,DKI Jakarta,136580,134910,136580,0,0
2024-10-01,Daging Sapi Murni,Gorontalo,132290,132780,132220,0,0
2024-10-01,Daging Sapi Murni,Jambi,135860,137090,137090,0,0
2024-10-01,Daging Sapi Murni,Jawa Barat,132430,132430,133070,0,0
2024-10-01,Daging Sapi Murni,Jawa Tengah,129950,129960,130010,0,0
2024-10-01,Daging Sapi Murni,Jawa Timur,118310,117620,117460,0,0
2024-10-01,Daging Sapi Murni,Kalimantan Barat,155840,155580,155800,0,0
2024-10-01,Daging Sapi Murni,Kalimantan Selatan,152050,152880,152940,0,0
2024-10-01,Daging Sapi Murni,Kalimantan Tengah,156400,156400,156990,0,0
2024-10-01,Daging Sapi Murni,Kalimantan Timur,156400,156100,157110,0,0
2024-10-01,Daging Sapi Murni,Kalimantan Utara,158210,158660,158660,0,0
2024-10-01,Daging Sapi Murni,Kepulauan Bangka Belitung,141610,140720,142300,0,0
2024-10-01,Daging Sapi Murni,Kepulauan Riau,154530,154430,154430,0,0
2024-10-01,Daging Sapi Murni,Lampung,132330,132090,131670,0,0
2024-10-01,Daging Sapi Murni,Maluku Utara,129780,132860,135630,0,0
2024-10-01,Daging Sapi Murni,Maluku,121320,117780,120690,0,0
2024-10-01,Daging Sapi Murni,Nusa Tenggara Barat,121880,122140,121900,0,0
2024-10-01,Daging Sapi Murni,Nusa Tenggara Timur,114520,115290,115370,0,0
2024-10-01,Daging Sapi Murni,Papua Barat,128890,126260,129030,0,0
2024-10-01,Daging Sapi Murni,Papua,147780,147210,147860,0,0
2024-10-01,Daging Sapi Murni,Riau,144320,143270,145070,0,0
2024-10-01,Daging Sapi Murni,Sulawesi Barat,127380,126300,126150,0,0
2024-10-01,Daging Sapi Murni,Sulawesi Selatan,125540,125740,125740,0,0
2024-10-01,Daging Sapi Murni,Sulawesi Tengah,134680,134680,134580,0,0
2024-10-01,Daging Sapi Murni,Sulawesi Tenggara,135180,136410,136410,0,0
2024-10-01,Daging Sapi Murni,Sulawesi Utara,133730,133810,133730,0,0
2024-10-01,Daging Sapi Murni,Sumatera Barat,143380,143790,144260,0,0
2024-10-01,Daging Sapi Murni,Sumatera Selatan,135050,135290,135480,0,0
2024-10-01,Daging Sapi Murni,Sumatera Utara,135160,133930,134130,0,0
2024-10-01,Gula Konsumsi,Aceh,18030,17990,18070,0,0
2024-10-01,Gula Konsumsi,Bali,17380,17330,17420,0,0
2024-10-01,Gula Konsumsi,Banten,17950,17730,17690,0,0
2024-10-01,Gula Konsumsi,Bengkulu,17640,17600,17640,0,0
2024-10-01,Gula Konsumsi,DI Yogyakarta,17000,17000,16860,0,0
2024-10-01,Gula Konsumsi,DKI Jakarta,18410,18410,18410,0,0
2024-10-01,Gula Konsumsi,Gorontalo,18350,18190,18340,0,0
2024-10-01,Gula Konsumsi,Jambi,17310,17450,17470,0,0
2024-10-01,Gula Konsumsi,Jawa Barat,17680,17690,17710,0,0
2024-10-01,Gula Konsumsi,Jawa Tengah,16920,16930,16810,0,0
2024-10-01,Gula Konsumsi,Jawa Timur,16660,16550,16440,0,0
2024-10-01,Gula Konsumsi,Kalimantan Barat,17930,17840,17770,0,0
2024-10-01,Gula Konsumsi,Kalimantan Selatan,17420,17460,17190,0,0
2024-10-01,Gula Konsumsi,Kalimantan Tengah,18050,17890,17740,0,0
2024-10-01,Gula Konsumsi,Kalimantan Timur,18320,18270,18410,0,0
2024-10-01,Gula Konsumsi,Kalimantan Utara,17840,17840,17550,0,0
2024-10-01,Gula Konsumsi,Kepulauan Bangka Belitung,17580,17580,17520,0,0
2024-10-01,Gula Konsumsi,Kepulauan Riau,15980,15980,16240,0,0
2024-10-01,Gula Konsumsi,Lampung,17610,17570,17600,0,0
2024-10-01,Gula Konsumsi,Maluku Utara,19650,19550,19690,0,0
2024-10-01,Gula Konsumsi,Maluku,19220,19360,19520,0,0
2024-10-01,Gula Konsumsi,Nusa Tenggara Barat,17720,17800,17720,0,0
2024-10-01,Gula Konsumsi,Nusa Tenggara Timur,18790,18910,18700,0,0
2024-10-01,Gula Konsumsi,Papua Barat,20290,20530,20340,0,0
2024-10-01,Gula Konsumsi,Papua,19680,19680,19730,0,0
2024-10-01,Gula Konsumsi,Riau,17510,17510,17410,0,0
2024-10-01,Gula Konsumsi,Sulawesi Barat,18210,18010,18090,0,0
2024-10-01,Gula Konsumsi,Sulawesi Selatan,17590,17780,17750,0,0
2024-10-01,Gula Konsumsi,Sulawesi Tengah,18710,18680,18790,0,0
2024-10-01,Gula Konsumsi,Sulawesi Tenggara,18930,19050,18740,0,0
2024-10-01,Gula Konsumsi,Sulawesi Utara,18310,18300,18370,0,0
2024-10-01,Gula Konsumsi,Sumatera Barat,17890,17950,18010,0,0
2024-10-01,Gula Konsumsi,Sumatera Selatan,17290,17360,17430,0,0
2024-10-01,Gula Konsumsi,Sumatera Utara,17920,17860,17810,0,0
2024-10-01,Minyak Goreng Curah,Aceh,15670,15630,15230,0,0
2024-10-01,Minyak Goreng Curah,Bali,16340,16390,16070,0,0
2024-10-01,Minyak Goreng Curah,Banten,15710,15820,15550,0,0
2024-10-01,Minyak Goreng Curah,Bengkulu,16100,15980,15980,0,0
2024-10-01,Minyak Goreng Curah,DI Yogyakarta,16280,16260,16240,0,0
2024-10-01,Minyak Goreng Curah,DKI Jakarta,16810,15710,16730,0,0
2024-10-01,Minyak Goreng Curah,Gorontalo,17770,17550,17020,0,0
2024-10-01,Minyak Goreng Curah,Jambi,15580,15240,15050,0,0
2024-10-01,Minyak Goreng Curah,Jawa Barat,16830,16830,16640,0,0
2024-10-01,Minyak Goreng Curah,Jawa Tengah,16330,16390,16110,0,0
2024-10-01,Minyak Goreng Curah,Jawa Timur,16330,16280,16060,0,0
2024-10-01,Minyak Goreng Curah,Kalimantan Barat,16790,16750,16120,0,0
2024-10-01,Minyak Goreng Curah,Kalimantan Selatan,15960,15930,15770,0,0
2024-10-01,Minyak Goreng Curah,Kalimantan Tengah,15170,15080,14880,0,0
2024-10-01,Minyak Goreng Curah,Kalimantan Timur,15960,15890,15960,0,0
2024-10-01,Minyak Goreng Curah,Kalimantan Utara,17590,17390,17490,0,0
2024-10-01,Minyak Goreng Curah,Kepulauan Bangka Belitung,15870,15230,15360,0,0
2024-10-01,Minyak Goreng Curah,Kepulauan Riau,16690,17590,14830,0,0
2024-10-01,Minyak Goreng Curah,Lampung,15930,15940,15700,0,0
2024-10-01,Minyak Goreng Curah,Maluku Utara,23000,0,0,0,0
2024-10-01,Minyak Goreng Curah,Maluku,16640,16480,16670,0,0
2024-10-01,Minyak Goreng Curah,Nusa Tenggara Barat,17420,17370,17750,0,0
2024-10-01,Minyak Goreng Curah,Nusa Tenggara Timur,16110,18220,17230,0,0
2024-10-01,Minyak Goreng Curah,Papua Barat,19170,19330,18210,0,0
2024-10-01,Minyak Goreng Curah,Papua,19150,19150,18400,0,0
2024-10-01,Minyak Goreng Curah,Riau,16600,16610,16310,0,0
2024-10-01,Minyak Goreng Curah,Sulawesi Barat,16400,16070,15710,0,0
2024-10-01,Minyak Goreng Curah,Sulawesi Selatan,16030,15960,15700,0,0
2024-10-01,Minyak Goreng Curah,Sulawesi Tengah,17250,17350,17230,0,0
2024-10-01,Minyak Goreng Curah,Sulawesi Tenggara,16790,16940,16950,0,0
2024-10-01,Minyak Goreng Curah,Sulawesi Utara,17080,17030,16910,0,0
2024-10-01,Minyak Goreng Curah,Sumatera Barat,15020,15060,15030,0,0
2024-10-01,Minyak Goreng Curah,Sumatera Selatan,15780,15720,15510,0,0
2024-10-01,Minyak Goreng Curah,Sumatera Utara,16280,16380,16610,0,0
2024-10-01,Minyak Goreng Kemasan Sederhana,Aceh,18000,18030,18050,0,0
2024-10-01,Minyak Goreng Kemasan Sederhana,Bali,17680,17730,17590,0,0
2024-10-01,Minyak Goreng Kemasan Sederhana,Banten,17260,17320,16880,0,0
2024-10-01,Minyak Goreng Kemasan Sederhana,Bengkulu,17260,17160,17260,0,0
2024-10-01,Minyak Goreng Kemasan Sederhana,DI Yogyakarta,16380,16210,16070,0,0
2024-10-01,Minyak Goreng Kemasan Sederhana,DKI Jakarta,18280,18210,17990,0,0
2024-10-01,Minyak Goreng Kemasan Sederhana,Gorontalo,19750,19640,19440,0,0
2024-10-01,Minyak Goreng Kemasan Sederhana,Jambi,16650,16550,16050,0,0
2024-10-01,Minyak Goreng Kemasan Sederhana,Jawa Barat,17510,17510,17510,0,0
2024-10-01,Minyak Goreng Kemasan Sederhana,Jawa Tengah,17110,17100,17040,0,0
2024-10-01,Minyak Goreng Kemasan Sederhana,Jawa Timur,17020,16940,16710,0,0
2024-10-01,Minyak Goreng Kemasan Sederhana,Kalimantan Barat,18530,18450,18530,0,0
2024-10-01,Minyak Goreng Kemasan Sederhana,Kalimantan Selatan,17800,17890,17830,0,0
