Tanggal,Bahan_pangan,Daerah,Harga_lag_1,Harga_lag_7,Harga_lag_30,Google_trends,Harga,MYRUSD,THBUSD,USDIDR,SGDIDR
2024-10-01,Bawang Merah,Papua,47610,48520,48360,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Merah,Riau,28760,28290,24170,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Merah,Sulawesi Barat,26240,30510,22310,39,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Merah,Sulawesi Selatan,26350,26910,21580,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Merah,Sulawesi Tengah,33820,33640,26790,41,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Merah,Sulawesi Tenggara,30260,30420,27780,40,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Merah,Sulawesi Utara,34350,35870,31230,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Merah,Sumatera Barat,27630,26180,20010,39,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Merah,Sumatera Selatan,26100,25000,22230,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Merah,Sumatera Utara,27150,25560,25250,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Putih Bonggol,Aceh,39110,39340,39280,36,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Putih Bonggol,Bali,35530,35700,35530,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Putih Bonggol,Banten,39250,38970,38660,43,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Putih Bonggol,Bengkulu,39100,39490,38680,35,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Putih Bonggol,DI Yogyakarta,36090,36170,34670,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Putih Bonggol,DKI Jakarta,40520,40520,40520,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Putih Bonggol,Gorontalo,44480,45320,44510,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Putih Bonggol,Jambi,37430,37470,36800,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Putih Bonggol,Jawa Barat,38400,38350,38670,57,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Putih Bonggol,Jawa Tengah,35630,35930,35880,50,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Putih Bonggol,Jawa Timur,34950,34940,35080,50,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Putih Bonggol,Kalimantan Barat,38360,38330,37030,56,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Putih Bonggol,Kalimantan Selatan,37920,38190,38110,41,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Putih Bonggol,Kalimantan Tengah,40070,39830,39290,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Putih Bonggol,Kalimantan Timur,42100,41870,41170,39,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Putih Bonggol,Kalimantan Utara,42820,43160,42360,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Putih Bonggol,Kepulauan Bangka Belitung,39730,40350,39250,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Putih Bonggol,Kepulauan Riau,34720,34030,34710,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Putih Bonggol,Lampung,37180,36890,37290,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Putih Bonggol,Maluku Utara,51750,52350,55700,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Putih Bonggol,Maluku,44070,45010,45860,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Putih Bonggol,Nusa Tenggara Barat,38250,38130,38540,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Putih Bonggol,Nusa Tenggara Timur,40540,40900,40610,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Putih Bonggol,Papua Barat,50850,51440,53350,39,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Putih Bonggol,Papua,51350,51560,50400,39,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Putih Bonggol,Riau,38290,38030,38210,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Putih Bonggol,Sulawesi Barat,40510,40520,41920,39,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Putih Bonggol,Sulawesi Selatan,40500,40430,39410,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Putih Bonggol,Sulawesi Tengah,44640,45410,45250,40,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Putih Bonggol,Sulawesi Tenggara,46480,45890,42810,40,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Putih Bonggol,Sulawesi Utara,44580,45530,45630,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Putih Bonggol,Sumatera Barat,37300,38870,38700,39,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Putih Bonggol,Sumatera Selatan,37540,37130,36850,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Bawang Putih Bonggol,Sumatera Utara,38340,38030,38330,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Medium,Aceh,13470,13520,13530,36,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Medium,Bali,14080,14040,14030,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Medium,Banten,12800,12770,12700,29,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Medium,Bengkulu,13900,13910,13900,35,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Medium,DI Yogyakarta,13010,13010,12790,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Medium,DKI Jakarta,13420,13510,13850,34,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Medium,Gorontalo,13530,13440,13620,36,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Medium,Jambi,13190,13120,13120,36,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Medium,Jawa Barat,12890,12920,12940,33,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Medium,Jawa Tengah,13150,13140,13120,40,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Medium,Jawa Timur,12620,12580,12540,40,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Medium,Kalimantan Barat,14520,14550,14750,43,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Medium,Kalimantan Selatan,12900,13060,13060,45,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Medium,Kalimantan Tengah,14070,14060,14090,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Medium,Kalimantan Timur,15750,15690,15530,32,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Medium,Kalimantan Utara,15500,15500,15430,40,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Medium,Kepulauan Bangka Belitung,13910,13910,13770,40,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Medium,Kepulauan Riau,13890,14000,14030,40,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Medium,Lampung,13170,13140,13080,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Medium,Maluku Utara,15530,15680,15840,39,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Medium,Maluku,14650,14770,14520,44,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Medium,Nusa Tenggara Barat,12950,12950,12750,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Medium,Nusa Tenggara Timur,13460,13560,13450,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Medium,Papua Barat,15570,15710,16230,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Medium,Papua,15510,15510,15510,36,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Medium,Riau,13930,13940,13810,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Medium,Sulawesi Barat,13200,13060,12960,44,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Medium,Sulawesi Selatan,12530,12570,12600,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Medium,Sulawesi Tengah,13440,13460,13470,40,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Medium,Sulawesi Tenggara,13070,13000,13010,41,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Medium,Sulawesi Utara,13730,13790,13770,39,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Medium,Sumatera Barat,15280,15350,15210,43,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Medium,Sumatera Selatan,12570,12540,12500,41,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Medium,Sumatera Utara,13950,13940,14150,41,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Premium,Aceh,14660,14700,14720,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Premium,Bali,15530,15490,15610,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Premium,Banten,15000,14770,14870,31,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Premium,Bengkulu,15480,15520,15600,36,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Premium,DI Yogyakarta,14400,14380,14360,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Premium,DKI Jakarta,15560,15560,15770,35,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Premium,Gorontalo,15320,15240,15410,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Premium,Jambi,15190,14990,15030,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Premium,Jawa Barat,14820,14830,14890,34,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Premium,Jawa Tengah,14910,14890,14990,42,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Premium,Jawa Timur,14580,14600,14610,42,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Premium,Kalimantan Barat,17110,17080,17180,45,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Premium,Kalimantan Selatan,16280,16270,16480,49,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Premium,Kalimantan Tengah,17270,17270,17390,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Premium,Kalimantan Timur,17380,17430,17240,30,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Premium,Kalimantan Utara,17490,17490,17210,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Premium,Kepulauan Bangka Belitung,15860,15860,15840,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Premium,Kepulauan Riau,16140,16140,16170,39,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Premium,Lampung,14600,14620,14590,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Premium,Maluku Utara,18030,17890,17940,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Premium,Maluku,17390,17290,17730,43,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Premium,Nusa Tenggara Barat,15030,14900,14750,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Premium,Nusa Tenggara Timur,15660,15770,15670,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Premium,Papua Barat,18320,18380,18380,39,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Premium,Papua,17990,17990,17940,36,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Premium,Riau,16210,16210,16070,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Premium,Sulawesi Barat,14460,14380,14400,42,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Premium,Sulawesi Selatan,14510,14530,14530,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Premium,Sulawesi Tengah,15360,15440,15660,39,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Premium,Sulawesi Tenggara,14690,14460,14540,39,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Premium,Sulawesi Utara,15120,15140,15080,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Premium,Sumatera Barat,17460,17600,17540,45,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Premium,Sumatera Selatan,14150,14140,14050,46,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Beras Premium,Sumatera Utara,15450,15350,15510,46,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Merah Keriting,Aceh,25510,28650,40700,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Merah Keriting,Bali,19810,19100,31790,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Merah Keriting,Banten,27100,27070,36470,31,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Merah Keriting,Bengkulu,27140,29490,36030,36,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Merah Keriting,DI Yogyakarta,16380,20360,26290,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Merah Keriting,DKI Jakarta,34270,36760,39890,35,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Merah Keriting,Gorontalo,45930,49100,48210,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Merah Keriting,Jambi,22270,23360,30160,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Merah Keriting,Jawa Barat,28730,30500,37910,34,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Merah Keriting,Jawa Tengah,21570,22380,27420,42,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Merah Keriting,Jawa Timur,19670,21140,27510,42,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Merah Keriting,Kalimantan Barat,57820,59510,56660,45,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Merah Keriting,Kalimantan Selatan,31440,35290,38850,49,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Merah Keriting,Kalimantan Tengah,53780,53970,58050,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Merah Keriting,Kalimantan Timur,41910,45020,48290,30,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Merah Keriting,Kalimantan Utara,64290,65280,68110,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Merah Keriting,Kepulauan Bangka Belitung,33370,36200,43490,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Merah Keriting,Kepulauan Riau,46880,47290,60100,39,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Merah Keriting,Lampung,25290,26190,33260,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Merah Keriting,Maluku Utara,55450,58040,62260,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Merah Keriting,Maluku,57210,62200,67680,43,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Merah Keriting,Nusa Tenggara Barat,21990,22470,29670,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Merah Keriting,Nusa Tenggara Timur,45540,47930,52150,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Merah Keriting,Papua Barat,62840,62840,81810,39,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Merah Keriting,Papua,60640,65100,69170,36,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Merah Keriting,Riau,36930,39270,47150,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Merah Keriting,Sulawesi Barat,29920,29840,41550,42,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Merah Keriting,Sulawesi Selatan,25550,27150,32620,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Merah Keriting,Sulawesi Tengah,39650,43270,49840,39,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Merah Keriting,Sulawesi Tenggara,42140,43590,47060,39,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Merah Keriting,Sulawesi Utara,36310,35310,42610,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Merah Keriting,Sumatera Barat,28520,30910,41480,45,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Merah Keriting,Sumatera Selatan,27560,28570,33940,46,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Merah Keriting,Sumatera Utara,22980,24740,34580,46,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Rawit Merah,Aceh,0,0,0,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Rawit Merah,Bali,33490,38550,33960,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Rawit Merah,Banten,43160,41590,48710,36,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Rawit Merah,Bengkulu,45990,43750,48590,36,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Rawit Merah,DI Yogyakarta,30420,34400,28440,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Rawit Merah,DKI Jakarta,44170,44840,49280,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Rawit Merah,Gorontalo,70400,70730,64540,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Rawit Merah,Jambi,44100,44900,48180,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Rawit Merah,Jawa Barat,40760,40780,44540,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Rawit Merah,Jawa Tengah,35430,36370,32440,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Rawit Merah,Jawa Timur,30830,31600,32860,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Rawit Merah,Kalimantan Barat,66110,70770,74940,36,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Rawit Merah,Kalimantan Selatan,43410,46480,54780,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Rawit Merah,Kalimantan Tengah,62410,63890,64230,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Rawit Merah,Kalimantan Timur,41720,45180,48890,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Rawit Merah,Kalimantan Utara,75950,77670,78830,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Rawit Merah,Kepulauan Bangka Belitung,60980,62760,55650,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Rawit Merah,Kepulauan Riau,62790,60300,69250,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Rawit Merah,Lampung,40590,41070,43160,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Rawit Merah,Maluku Utara,76800,79880,82270,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Rawit Merah,Maluku,64170,68050,71130,39,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Rawit Merah,Nusa Tenggara Barat,29420,30890,33150,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Rawit Merah,Nusa Tenggara Timur,36690,37270,43970,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Rawit Merah,Papua Barat,80880,86700,93220,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Rawit Merah,Papua,83050,83600,88810,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Rawit Merah,Riau,56010,53410,58860,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Rawit Merah,Sulawesi Barat,41060,40590,44800,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Rawit Merah,Sulawesi Selatan,26140,28590,32500,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Rawit Merah,Sulawesi Tengah,51300,52390,54230,39,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Rawit Merah,Sulawesi Tenggara,39870,41320,53050,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Rawit Merah,Sulawesi Utara,74260,77130,67900,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Rawit Merah,Sumatera Barat,47400,48100,56330,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Rawit Merah,Sumatera Selatan,42370,41370,42090,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Cabai Rawit Merah,Sumatera Utara,43610,46250,57240,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Ayam Ras,Aceh,30080,30130,29380,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Ayam Ras,Bali,38640,39140,36450,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Ayam Ras,Banten,35930,36250,35620,36,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Ayam Ras,Bengkulu,32070,33020,33220,36,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Ayam Ras,DI Yogyakarta,31930,32280,33050,36,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Ayam Ras,DKI Jakarta,36120,36420,36330,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Ayam Ras,Gorontalo,31360,31750,32690,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Ayam Ras,Jambi,31810,31800,31260,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Ayam Ras,Jawa Barat,33980,34390,34960,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Ayam Ras,Jawa Tengah,33910,34410,34540,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Ayam Ras,Jawa Timur,31620,32470,32780,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Ayam Ras,Kalimantan Barat,42210,42760,39240,36,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Ayam Ras,Kalimantan Selatan,29760,32010,32610,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Ayam Ras,Kalimantan Tengah,38720,38890,40020,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Ayam Ras,Kalimantan Timur,40000,39350,37720,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Ayam Ras,Kalimantan Utara,48090,47230,47400,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Ayam Ras,Kepulauan Bangka Belitung,35320,35140,34880,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Ayam Ras,Kepulauan Riau,41800,41900,40500,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Ayam Ras,Lampung,34660,33600,34960,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Ayam Ras,Maluku Utara,47710,46790,46910,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Ayam Ras,Maluku,48180,47490,47880,39,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Ayam Ras,Nusa Tenggara Barat,39600,39460,40110,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Ayam Ras,Nusa Tenggara Timur,41170,42650,43940,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Ayam Ras,Papua Barat,50500,51680,53510,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Ayam Ras,Papua,44880,44300,44520,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Ayam Ras,Riau,29410,30190,28820,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Ayam Ras,Sulawesi Barat,31260,30370,32160,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Ayam Ras,Sulawesi Selatan,26220,26470,25810,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Ayam Ras,Sulawesi Tengah,32260,32290,31140,39,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Ayam Ras,Sulawesi Tenggara,33870,32790,33100,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Ayam Ras,Sulawesi Utara,33200,33620,34280,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Ayam Ras,Sumatera Barat,33760,33800,34050,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Ayam Ras,Sumatera Selatan,31130,31270,31720,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Ayam Ras,Sumatera Utara,30660,30330,31090,38,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Sapi Murni,Aceh,152990,153120,153310,37,0,3379.0,430.0,14726.0,3379.0
2024-10-01,Daging Sapi Murni,Bali,114000,114000,114460,38,0,3379.0,430.0,14726.0,3379.0
